"SID","lat","lon","elev","name"
1416,58.9569,5.73,72,"STAVANGER VAALAND"
1417,59.4839,5.7506,64.7,"NEDRE VATS"
1418,60.0167,5.2058,32,""
1419,59.0508,6.1211,300,"LIARVATN"
1422,59.1597,6.0364,30,"FISTER_SIGMUNDSTAD"
1424,59.6486,6.3631,2.71,"SAUDA"
1425,58.5006,6.5006,66.07,"EIK HOVE"
1426,58.4353,5.8717,49,"EIGEROYA"
1427,58.1097,6.5681,13.5,"LISTA LH"
1428,58.1,6.6333,10,"LISTA FLYPLASS"
1430,58.0244,7.4517,10,"MANDAL III"
1431,58.9228,6.9094,555.4,"SIRDAL-SINNES"
1433,59.8336,6.9914,1081.01,"MIDTLAEGER"
1434,59.7661,7.3653,822,"VAAGSLI"
1435,59.8118,7.2143,991,""
1436,57.9828,7.0478,13,"LINDESNES LH"
1439,58.2669,7.3806,263,"KONSMO-HOYLAND"
1440,59.3428,6.8733,1050,"BLASJO"
1441,59.595,7.41,836.16,"HOVDEN-LUNDANE"
1442,58.6669,7.8008,211.3,"BYGLANDSFJORD"
1444,59.2017,7.5328,302,"VALLE"
1446,59.5667,8.2,714,"OYFJELL-TROVATN"
1447,59.4969,8.1992,561.85,"HOYDALSMO II"
1448,58.0731,8.0531,8,"OKSOY LH"
1449,58.87,9.0264,32,"GJERSTAD"
1450,59.8394,8.1792,977,"MOSSTRAND II"
1452,58.2,8.0767,17.37,"KRISTIANSAND/KJEVIK"
1453,58.6006,8.4161,162,"HYNNEKLEIV"
1455,59.0269,8.5206,254.88,"TVEITSUND"
1459,58.6581,8.6311,142,"NELAUG"
1460,59.4353,10.5781,14,""
1462,59.0872,9.66,90,""
1463,59.6606,10.7819,89,"AS"
1464,58.34,8.5225,6,"LANDVIK"
1465,58.3986,8.7892,15,"TORUNGEN LH"
1466,59.9708,11.0383,109,"KJELLER AP"
1467,58.6333,9.1503,4.54,"LYNGOR LH"
1468,60.1903,12.0067,148,"KONGSVINGER"
1469,60.1664,10.2478,141.7,"HONEFOSS-HOYBY"
1470,59.3831,9.2011,93,"GVARV"
1471,60.0433,9.1467,275,"VEGGLI II"
1473,59.6244,9.6375,172.7,"KONGSBERG BRANNSTASJON"
1474,59.9,9.5333,294,"LYNGDAL I NUMEDAL"
1476,58.8569,9.5761,5,"JOMFRULAND LH"
1477,59.7128,10.1458,193,"KONNERUD"
